"CellsLineageOrder...1.","CellNames.as.vector.CellsLineageOrder...1...","CCTermDefects","PosTermDefects","AngTermDefects","ExpPeak.CellsLineageOrder...1..","ceh36_peak.CellsLineageOrder...1..","unc30_peak.CellsLineageOrder...1..","mls2_peak.CellsLineageOrder...1..","nob1_peak.CellsLineageOrder...1..","ceh13_peak.CellsLineageOrder...1.."
"ABplpappap","death",1,0,0,-71,377,-226,2055,-41,-38
"ABplpapppaa","K",1,0,0,-71,343,-294,2225,-30,-38
"ABplpapppap","K'",1,0,0,-71,384,-294,2225,-30,-38
"ABplpappppa","PVT",1,0,0,-71,343,-294,2225,-30,-38
"ABplpappppp","rect_D",1,0,0,-71,-44,-183,1687,12,22
"ABplppaaaaa","SIBDL",1,0,0,-71,-44,-71,1687,12,22
"ABplppaaaap",NA,1,0,0,-71,-44,796,1687,12,22
"ABplppaaap","death",1,0,0,-71,-44,-71,1687,12,22
"ABplppaapaa","death",1,0,0,-71,-44,-183,1687,12,22
"ABplppaapap","RIML",1,0,0,-71,-44,-77,1687,12,22
"ABplppaappa","AIAL",1,0,0,-71,-44,-110,1687,12,22
"ABplppaappp","DB6",1,0,0,-71,-86,-294,0,-42,-38
"ABplppapaaa",NA,1,0,0,-71,-86,-294,998,-29,-31
"ABplppapaap","SABD",1,0,0,94,-86,-248,2419,-29,-15
"ABplppapapa","DA2",1,0,0,332,-86,-248,2419,-29,-5
"ABplppapapp","DA4",1,0,0,332,-14,-248,2419,-29,-5
"ABplppappaa","RIGL",1,0,0,332,-32,-248,2419,-29,-5
"ABplppappap","DD1",1,0,0,349,95,-248,2419,-29,-15
"ABplppapppa","DD3",1,0,0,349,1654,-244,2419,-29,-15
"ABplppapppp","DD5",1,0,0,349,2027,-248,2419,-29,-15
"ABplpppaaaa","DA9",2,0,0,120,-86,73,2383,-9,-31
"ABplpppaaap","DA6",2,0,0,345,1119,73,2383,-9,-31
"ABplpppaapa",NA,3,0,0,345,1422,73,2383,-9,-31
"ABplpppaapp","PHAL",3,0,0,345,1422,73,2383,-9,-31
"ABplpppapaa","PHshL",1,0,0,345,1422,73,2383,-9,-31
"ABplpppapap","hyp8/9",1,0,0,345,1119,73,2383,-9,-31
"ABplpppapp","death",1,0,0,230,1027,73,2383,12,-31
"ABplppppaaa","PVPL",1,0,0,230,1252,73,2383,12,-31
"ABplppppaap","rect_VL",1,0,0,230,1027,73,2383,12,-31
"ABplppppapa","U",1,0,0,-71,-86,-81,837,-17,-38
"ABplppppapp","F",1,0,0,26,426,-81,2098,-17,-33
"ABplpppppaa","mu_int_L",3,0,0,84,831,-81,2098,-17,-33
"ABplpppppap","mu_anal",3,0,0,84,831,-81,2098,-17,-33
"ABplppppppa","spike",1,0,0,84,831,-81,2098,-17,-33
"ABplppppppp","hyp10",1,0,0,270,971,-81,2249,-17,-33
"ABpraaaaaaa","AVER",2,0,0,270,1482,-81,2249,-17,-33
"ABpraaaaaap","OLQshVR",2,0,0,270,1933,-81,2249,-17,-33
"ABpraaaaapd","OLLshR",1,0,0,69,578,-81,2135,-17,-38
"ABpraaaaapv","death",1,0,0,261,3051,-81,2135,-17,-38
"ABpraaaapad","RMDR",1,0,0,261,3051,-81,2135,-17,-38
"ABpraaaapav","AFDR",1,0,0,261,3051,-81,2135,-17,-38
"ABpraaaappa","death",1,0,0,261,3051,-81,2135,-17,-38
"ABpraaaappp",NA,1,0,0,261,3051,-81,2135,-17,-38
"ABpraaapaad","ADLR",1,0,0,156,2695,-81,2135,-17,-36
"ABpraaapaav","death",1,0,0,156,2695,6,2135,-17,-36
"ABpraaapapa",NA,1,0,0,156,2695,-81,2135,-17,-36
"ABpraaapapp","death",1,0,0,-71,-86,-294,0,-56,-38
"ABpraaappaa","ADFR",1,0,0,-71,-63,-294,0,-44,-38
"ABpraaappap","AWBR",1,0,0,-40,-63,-231,0,-44,-18
"ABpraaapppa",NA,1,0,0,-40,-63,-231,0,-15,-18
"ABpraaappppa","ASJR",1,0,0,-40,-63,-170,0,-15,-18
"ABpraaappppp","AUAR",1,0,0,-40,-52,-170,0,-15,-18
"ABpraapaaaa","hyp3",1,0,0,-40,-63,-170,0,-15,-18
"ABpraapaaap","ILsoDR",1,0,0,-40,-63,-180,0,31,-18
"ABpraapaapa","URBR",1,0,0,-40,-61,-63,0,31,-18
"ABpraapaapp","AMshR",1,0,0,-40,43,-180,0,31,-18
"ABpraapapaa","AWAR",1,0,0,-40,-63,-17,0,-32,-18
"ABpraapapap","ASGR",1,0,0,-40,1400,-17,0,-32,-18
"ABpraapappa","AIBR",1,0,0,-40,1400,3,0,-32,-18
"ABpraapappp",NA,1,0,0,-40,1400,297,93,-32,-18
"ABpraappaa","hyp4",1,0,0,-40,1310,-17,0,-27,-18
"ABpraappap","hyp6",1,0,0,-40,2221,141,0,-27,-18
"ABpraapppa","hyp7",2,0,0,-40,1310,72,0,-27,-18
"ABpraapppp","hyp7",2,0,0,-71,-58,-294,0,-44,-11
"ABprapaaaaa","death",1,0,0,-45,44,-294,0,-44,-11
"ABprapaaaap",NA,1,0,0,1,410,-71,0,-44,-11
"ABprapaaapa",NA,2,0,0,1,410,-71,0,-44,-11
"ABprapaaapp","RMGR",1,0,0,1,410,14,0,-44,-11
"ABprapaapa","W",1,0,0,1,410,14,0,-44,-11
"ABprapaapp","P1/2R",1,0,0,1,410,14,0,-44,-11
"ABprapapaa",NA,1,0,0,-45,702,-141,0,-8,-11
"ABprapapap","P9/10R",1,0,0,-45,3330,60,0,-8,-11
"ABprapappa","P12",1,1,0,-45,3295,33,0,-8,-11
"ABprapapppa","death",1,0,0,-59,111,-274,0,-10,-11
"ABprapapppp",NA,2,0,0,-59,1412,-119,0,-10,-11
"ABprappaaa","P3/4R",1,0,0,-59,1412,-119,8,-10,-11
"ABprappaap","P5/6R",1,0,0,-59,1412,-119,0,-10,-11
"ABprappapa","V3R",1,0,0,-59,1307,-274,0,-10,-11
"ABprappapp","P7/8R",1,0,0,-59,2003,29,0,-10,-11
"ABprapppaaa","PVQR",1,0,0,-59,2127,-156,0,-10,-11
"ABprapppaap","death",1,0,0,-71,-86,-294,0,-30,-20
"ABprapppapa","death",1,0,0,-71,-68,-294,0,-30,-20
"ABprapppapp",NA,1,0,0,-70,-68,-248,0,-30,-20
"ABprappppa","hyp7",1,0,0,-69,-68,-108,0,0,26
"ABprappppp","TR",1,0,0,-69,-64,-108,12,0,26
"ABprpaaaaaa","SAAVR",1,0,0,-69,-62,-37,0,0,26
"ABprpaaaaap","AWCR",1,0,0,-70,-68,-248,0,-29,22
"ABprpaaaapa","G1",1,0,0,-70,-68,-248,0,-29,22
"ABprpaaaapp","DB3/1",1,0,0,-70,-68,-187,0,-29,22
"ABprpaaapaa","URAVR",1,0,0,-71,-68,-228,0,-17,-20
"ABprpaaapap","CEPshVR",1,0,0,-71,981,-228,0,-17,-20
"ABprpaaappa",NA,1,0,0,-71,1263,-124,0,-17,-20
"ABprpaaappp","URYVR",1,0,0,-71,1546,-12,0,-17,-20
"ABprpaapaaa","RIVR",1,0,0,-71,1546,-12,0,-17,-20
"ABprpaapaap","AVBR",1,0,0,-71,1546,-12,0,-17,-20
"ABprpaapapa","AMsoR",1,0,0,-71,1567,-77,0,-13,-20
"ABprpaapapp","CEMVR",1,0,0,-71,3843,34,0,-13,-20
"ABprpaappaa","ASHR",1,0,0,-71,3430,-77,0,-13,-20
"ABprpaappap","RIBR",1,0,0,-71,-86,-294,0,-25,-20
"ABprpaapppa","AIMR",1,0,0,-71,-86,-294,0,-21,-20
"ABprpaapppp",NA,1,0,0,-71,-86,-240,0,-12,-20
"ABprpapaaaa","SMDDR",1,0,0,-71,-86,-240,0,-12,-20
"ABprpapaaap","AIYR",1,0,0,-71,-84,-240,0,-12,-20
"ABprpapaapa","SIADR",1,0,0,-69,-86,-167,0,-21,-3
"ABprpapaapp","SIBVR",1,0,0,-69,-86,-167,0,-21,-3
"ABprpapapaa","exc_gl_R",1,0,0,-69,-86,-161,0,-21,-3
"ABprpapapap","AVKR",1,1,0,-50,-86,-284,0,-25,-20
"ABprpapappa","SIAVR",1,0,0,-50,-86,-220,0,-25,-20
"ABprpapappp","DA8",1,0,0,-50,-63,-220,0,-25,-20
"ABprpappaaa","RIH",1,0,0,-50,-80,-220,0,-25,-20
"ABprpappaap","AVL",1,0,0,-37,-86,-27,0,-25,-20
"ABprpappapa","RIS",1,0,0,-37,-86,-27,0,-25,-20
"ABprpappapp","DB4",1,0,0,-37,-86,-27,0,-25,-20
"ABprpapppaa","RIR",1,0,0,-37,-86,-27,0,-25,-20
"ABprpapppap","AVG",1,0,0,-37,-86,-27,0,-25,-20
"ABprpappppa","virR",1,0,0,-58,-86,-294,0,-87,-38
"ABprpappppp","virL",1,0,0,-52,-73,-294,0,-87,-38
"ABprppaaaaa","SIBDR",1,0,0,-52,-59,-294,0,-75,-38
"ABprppaaaap",NA,1,0,0,-29,-21,-294,0,-64,-38
"ABprppaaap","death",1,0,0,-29,-21,-179,0,-64,-28
"ABprppaapaa","death",1,0,0,72,-21,-179,0,-58,4
"ABprppaapap","RIMR",1,0,0,72,-21,-179,0,-58,4
"ABprppaappa","AIAR",1,0,0,72,-21,-179,0,-58,4
"ABprppaappp","DB7",1,0,0,-25,-12,3500,3125,-58,-21
"ABprppapaaa",NA,1,0,0,-25,-12,3500,13865,-58,-21
"ABprppapaap","DA1",1,0,0,-25,-12,3500,12992,-58,-21
"ABprppapapa","DA3",1,0,0,-29,-21,684,46,-64,-38
"ABprppapapp","DA5",1,0,0,47,-8,758,5443,-64,-38
"ABprppappaa","RIGR",1,0,0,47,-8,758,14477,-64,-38
"ABprppappap","DD2",1,0,0,47,-8,758,14160,-64,-38
"ABprppapppa","DD4",2,0,0,-21,7,3605,1458,-38,-38
"ABprppapppp","DD6",2,0,0,-52,-59,-294,0,-75,-38
"ABprpppaaaa","PDA/Y",2,0,0,-28,1,-294,0,-75,-38
"ABprpppaaap","DA7",2,0,0,-16,1,3116,0,-75,-38
"ABprpppaapa",NA,1,0,0,-13,1,2901,0,-75,-38
"ABprpppaapp","PHAR",1,0,0,-22,-51,409,0,-75,-38
"ABprpppapaa","PHshR",2,0,0,0,-51,3244,0,-75,-38
"ABprpppapap","hyp8/9",2,0,0,-12,-38,1008,0,-75,-38
"ABprpppapp","death",1,0,0,-52,-73,-294,0,-67,-38
"ABprppppaaa","PVPR",1,0,0,-52,-73,-294,0,-67,-38
"ABprppppaap","rect_VR",1,0,0,8,-37,909,0,-67,-28
"ABprppppapa","B",1,0,0,18,-36,1306,0,-67,-21
"ABprppppapp","DVA",1,0,0,18,-36,1306,0,-67,-21
"ABprpppppaa","mu_bod",1,0,0,18,-36,1306,0,-67,-21
"ABprpppppap","mu_sph",1,0,0,8,-37,909,0,-67,-28
"ABprppppppa","spike",1,0,0,8,-37,909,1108,-67,-28
"ABprppppppp","hyp10",1,0,0,8,-37,909,0,-67,-28
"MSaaaaaa",NA,0,0,0,-20,-5,-294,8,-49,-26
"MSaaaaapaa","I3",1,0,0,-20,-33,-294,8,-103,-38
"MSaaaaapap","g1P",1,0,0,-1,-33,743,8,-103,-38
"MSaaaaapp","m4DL",1,0,0,-1,-33,1085,8,-103,-38
"MSaaaapaa","I4",0,0,0,-1,-33,743,8,-103,-38
"MSaaaapap","m5DL",0,0,0,-20,-33,-294,8,-96,-38
"MSaaaappa","death",0,0,0,-20,-33,709,8,-96,-38
"MSaaaappp","m7D",0,0,0,-20,-33,374,8,-96,-38
"MSaaapaaa","m3DL",0,0,0,-20,-33,374,8,-96,-38
"MSaaapaap","m4L",0,0,0,-20,-33,374,8,-96,-38
"MSaaapapa","mc3DL",0,0,0,-28,-33,-294,8,-103,-38
"MSaaapapp","m8",0,0,0,-28,-33,-294,8,-86,-38
"MSaaappa","death",0,0,0,31,-33,-294,8,-28,-38
"MSaaappp","vpi3D",0,0,0,22,-33,-294,8,-84,-38
"MSaapaaaa","m4VL",1,0,0,-28,-33,-294,8,-103,-38
"MSaapaaap","m5VL",1,0,0,-28,-5,-294,8,-78,-38
"MSaapaapa",NA,0,0,0,-25,-33,-294,8,-103,-38
"MSaapaapp","m7VL",0,0,0,-25,-33,-294,8,-103,-38
"MSaapappa","m6VL",0,0,0,-25,-33,-294,8,-103,-38
"MSaapappp","vpi2DL",0,0,0,-28,-23,-294,8,-103,-38
"MSaappaa","vpi2V",0,0,0,-15,-23,-294,8,-103,705
"MSaappap","vpi3V",0,0,0,22,-23,-158,8,-103,4167
"MSaapppp",NA,1,1,0,36,-23,-158,8,-103,6747
"MSapaaaa",NA,0,0,0,36,-23,-158,8,-57,6747
"MSapaaap","mu_bod",0,0,0,36,-23,-158,14,-57,6747
"MSapaapa","death",0,0,0,36,-23,-33,8,-57,6747
"MSapaapp","M",0,0,0,36,-23,-33,8,-57,6747
"MSapapaa",NA,0,0,0,36,-23,-33,8,-57,6747
"MSapapap","mu_bod",0,0,0,36,-23,-158,8,-58,6747
"MSapappa","mu_bod",0,0,0,36,-23,-158,8,-58,6747
"MSapappp","mu_bod",0,0,0,36,-23,-158,8,-58,6747
"MSappaaa","hmc",0,0,0,36,-23,-158,8,-58,6747
"MSappaap","Z4",0,0,0,36,-23,-5,8,-58,6747
"MSappapa","death",0,0,0,22,3,-158,8,-95,7651
"MSappapp","mu_bod",0,0,0,22,3,-158,8,-67,7651
"MSapppaa","mu_bod",0,0,0,22,3,-158,8,-95,7651
"MSapppap","mu_bod",0,0,0,-15,-23,-294,8,-72,3742
"MSappppa","mu_bod",0,0,0,-15,-23,-294,8,1057,3742
"MSappppp","mu_bod",0,0,0,-15,-23,-294,8,1630,3742
"MSpaaaaaa","M4",0,0,0,-15,-23,-294,8,1630,3742
"MSpaaaaap","death",0,0,0,-15,-23,-294,8,1630,3742
"MSpaaaapa","m3DR",0,0,0,-15,-23,-294,8,1415,3742
"MSpaaaapp","m4DR",0,0,0,-15,-23,-294,8,1158,3742
"MSpaaapaa","I6",0,0,0,-15,-23,-195,8,2902,3742
"MSpaaapap","M5",0,0,0,-15,-23,-192,8,1284,3742
"MSpaaappa","m5DR",0,0,0,-15,-23,-192,8,1284,3742
"MSpaaappp","m6D",0,0,0,-15,-23,-192,8,1284,3742
"MSpaapaaa","M1",0,0,0,-15,-23,-192,8,1284,3742
"MSpaapaap","death",0,0,0,-15,-23,-192,8,1284,3742
"MSpaapapa","mc3DR",0,0,0,-15,-23,-192,8,1284,3742
"MSpaapapp","vpi1",0,0,0,-15,-23,-192,8,1284,3742
"MSpaapp","death",0,0,0,-3,-23,-294,8,-103,599
"MSpapaaaa","m4VR",0,0,0,-3,-23,-294,8,667,1355
"MSpapaaap","m5VR",0,0,0,-3,-23,-294,8,832,2764
"MSpapaapa",NA,0,0,0,-3,-23,-294,8,832,3591
"MSpapaapp","m7VR",0,0,0,-3,-23,-294,8,832,2883
"MSpapapaa","g2R",0,0,0,-3,-23,-294,8,667,2095
"MSpapapap","death",0,0,0,9,-23,-294,8,667,2095
"MSpapappa","m6VR",0,0,0,99,-23,-266,8,667,2095
"MSpapappp","vpi2DR",0,0,0,-3,-23,-294,8,568,1037
"MSpappaa","mu_bod",0,0,0,-3,-23,-240,8,1290,1037
"MSpappap","mu_bod",0,0,0,-3,-23,-225,8,1290,1037
"MSpapppaa","mu_bod",0,0,0,-3,-23,-17,8,1290,1037
"MSpapppap","mu_bod",0,0,0,-3,-23,-225,8,1290,1037
"MSpapppp",NA,0,0,0,-3,-23,-136,8,1290,1037
"MSppaaaa",NA,0,0,0,-3,-23,-6,8,1290,1037
"MSppaaap","mu_bod",0,0,0,-3,-23,-136,8,1290,1037
"MSppaapa","death",0,0,0,-3,-23,-136,8,1290,1037
"MSppaapp","mu_int_R",0,0,0,-3,-23,-136,8,1290,1037
"MSppapaa",NA,0,0,0,-3,-23,-199,8,1108,1037
"MSppapap","mu_bod",0,0,0,-3,-23,-144,8,1108,1037
"MSppappa","mu_bod",0,0,0,-3,-23,-199,8,1108,1037
"MSppappp","mu_bod",0,0,0,-36,-166,-294,8,-103,-38
"MSpppaaa","death",0,0,0,-36,-166,-294,8,-103,-38
"MSpppaap","Z1",0,1,0,-34,-132,-294,8,-103,-38
"MSpppapa","death",0,0,0,-34,444,1841,8,-102,-29
"MSpppapp","mu_bod",1,0,0,-34,1323,1841,1066,-102,-29
"MSppppaa","mu_bod",0,0,0,-34,1323,1841,2780,-85,-15
"MSppppap","mu_bod",0,0,0,-34,1323,1841,2780,-85,-15
"MSpppppa","mu_bod",0,0,0,-34,1323,1841,2780,-85,-15
"MSpppppp","mu_bod",0,0,0,-34,1323,1841,3348,-102,-29
"Ealaa",NA,1,0,0,-16,-17,3291,8,-89,-38
"Ealap","int",0,0,0,-28,-27,-294,8,-99,-38
"Ealpa","int",0,0,0,-28,-23,1492,8,-99,-28
"Ealpp","int",0,0,0,-15,-23,1492,8,-64,-28
"Earaa",NA,0,0,0,-28,-11,1492,8,-92,-28
"Earap","int",0,0,0,-28,-27,-294,8,-99,-38
"Earpa","int",0,0,0,-28,-27,313,8,-56,-38
"Earpp","int",0,0,0,8,-27,1190,8,-99,-38
"Eplaa","int",0,0,0,-28,-33,-294,8,-103,-38
"Eplap","int",0,0,0,-20,-33,-294,8,-103,-38
"Eplpa","int",0,0,0,-20,-11,-294,8,-103,-38
"Eplpp",NA,0,0,0,57,-11,-294,8,-18,-10
"Epraa","int",0,0,0,57,-11,183,8,-18,-10
"Eprap","int",0,0,0,57,-11,-16,8,-18,-10
"Eprpa","int",0,0,0,-20,-5,-294,8,-49,-26
"Eprpp",NA,0,0,0,-20,-5,-294,8,-49,-26
"Caaaaa","hyp7",0,0,0,8,-37,909,0,-67,-28
"Caaaap","hyp7",0,0,0,8,-37,909,0,-67,-28
"Caaapa","hyp7",0,0,0,-12,-35,-206,0,-67,-38
"Caaapp","hyp7",0,0,0,-12,-35,-206,0,-67,-38
"Caapaa","DVC",0,0,0,-12,-30,1082,0,-67,-38
"Caapap","death",0,0,0,-52,-53,-294,0,-67,-38
"Caappd","hyp7",0,0,0,-30,-53,-294,0,-67,-38
"Caappv","PVR",0,0,0,-30,-33,264,401,-67,4
"Capaaaa","mu_bod",0,0,0,-30,-50,-294,0,-67,-38
"Capaaap","mu_bod",0,0,0,-40,-53,-294,0,-67,-38
"Capaapa","mu_bod",1,0,0,-6,-32,-294,0,-67,-38
"Capaapp","mu_bod",1,0,0,-40,-53,-294,0,-67,-38
"Capapaa","mu_bod",1,0,0,-58,-63,-294,0,-87,-38
"Capapap","mu_bod",1,0,0,-49,-63,-294,0,-87,2150
"Capappa","mu_bod",1,0,0,2,-36,-294,0,-87,3937
"Capappp","mu_bod",1,0,0,2,-36,2452,4,-87,8323
"Cappaaa","mu_bod",0,0,0,2,-36,2549,4,-87,8323
"Cappaap","mu_bod",0,0,0,2,-21,2452,4,-76,8323
"Cappapa","mu_bod",1,0,0,2,-36,1526,0,-87,8964
"Cappapp","mu_bod",1,0,0,15,-36,2848,0,-87,8964
"Capppaa","mu_bod",1,0,0,2,-15,1526,0,-36,9064
"Capppap","mu_bod",1,0,0,2,-15,1526,0,-36,9064
"Cappppd","mu_bod",1,0,0,2,-15,1526,0,-36,9064
"Cappppv","mu_bod",1,0,0,7,-28,-294,0,-87,3306
"Cpaaaa","hyp7",0,0,0,7,-28,-294,0,-87,7197
"Cpaaap","hyp7",0,1,0,7,-28,-294,0,12,7197
"Cpaapa","hyp7",0,0,0,24,-28,-294,0,-74,7897
"Cpaapp","hyp7",0,0,0,7,-28,-294,0,-87,7751
"Cpapaa","hyp7",0,0,0,7,-28,-294,0,-74,7751
"Cpapap","hyp7",0,0,0,7,-28,-216,0,-87,7751
"Cpappd","hyp7",0,0,0,-58,-46,-294,0,-87,1940
"Cpappv","hyp11",0,0,0,-33,-43,-294,128,-87,3124
"Cppaaaa","mu_bod",0,0,0,-33,4,2059,258,-87,8571
"Cppaaap","mu_bod",0,0,0,84,4,2059,258,-87,8571
"Cppaapa","mu_bod",0,0,0,-33,4,2059,258,-87,8571
"Cppaapp","mu_bod",0,0,0,-24,-43,-294,313,-87,9706
"Cppapaa","mu_bod",0,0,0,9,-43,2215,313,-87,9706
"Cppapap","mu_bod",0,0,0,8,-43,-294,313,-87,9706
"Cppappa","mu_bod",0,0,0,8,-43,-294,313,-87,9706
"Cppappp","mu_bod",0,0,0,8,-43,-294,313,-87,9706
"Cpppaaa","mu_bod",0,0,0,-42,-46,-294,176,-87,3088
"Cpppaap","mu_bod",0,0,0,-17,-46,-294,1209,-87,10028
"Cpppapa","mu_bod",0,0,0,-17,-46,-294,1292,-14,10028
"Cpppapp","mu_bod",0,0,0,-17,-38,-294,1381,-48,10028
"Cppppaa","mu_bod",0,0,0,-21,-36,-294,1370,-87,10247
"Cppppap","mu_bod",0,0,0,-21,-36,-294,1633,-87,10247
"Cpppppd","mu_bod",0,0,0,-21,-36,-173,1787,-87,10247
"Cpppppv","mu_bod",0,0,0,-74,NA,-294,8,-103,-38
"Daaaa","mu_bod",0,0,0,-36,-238,-294,8,-103,-38
"Daaap","mu_bod",0,0,0,-28,-33,-294,8,-103,-38
"Daapa","mu_bod",0,0,0,-28,-33,-294,8,-103,-38
"Daapp","mu_bod",0,0,0,-28,-33,-294,8,-99,-38
"Dapaa","mu_bod",0,0,0,-27,-33,-294,8,-99,-38
"Dapap","mu_bod",0,0,0,-17,-16,-294,8,-99,-38
"Dappa",NA,0,0,0,-17,-16,892,8,-42,-1
"Dappp",NA,0,0,0,-17,-16,892,8,-42,-1
"Dpaaa","mu_bod",1,0,0,-17,-16,892,14,-42,-1
"Dpaap","mu_bod",1,0,0,-17,-16,-44,8,-99,-21
"Dpapa","mu_bod",0,0,0,-17,-16,-44,8,-99,-21
"Dpapp","mu_bod",0,1,0,-17,-16,228,8,-99,-21
"Dppaa","mu_bod",0,0,0,-17,-16,228,8,-99,-21
"Dppap","mu_bod",0,0,0,-17,-16,228,8,-99,-21
"Dpppa",NA,0,1,0,-16,-17,201,8,-89,-38
"Dpppp",NA,0,1,0,-16,-17,3990,8,-89,-38
"Z2","Z2",0,0,0,-34,1323,1841,3348,-102,-29
"Z3","Z3",0,1,0,-34,1323,1841,3348,-102,-29
