"","Cell","Embryo","Div time","WT Div time","WT Div time SD","CC","WT CC","WT CC SD","CC Deviation","CC Z score","Terminal Cell Length","Terminal cell delta","Terminal Cell Z"
"ABalaaapal_X20221004_JIM712_ceh.32_L4","ABalaaapal","X20221004_JIM712_ceh.32_L4",299.3,297.836363636364,4.21047960785212,80.1,71.9636363636364,2.27251600749676,8.13636363636363,3.58033281592858,NA,NA,NA
"ABalaapaap_X20221004_JIM712_ceh.32_L4","ABalaapaap","X20221004_JIM712_ceh.32_L4",306.6,323.805,5.81228055612923,68.2,87.18,3.5420184551809,-18.98,-5.358526569007,NA,NA,NA
"ABalaapap_X20221004_JIM712_ceh.32_L4","ABalaapap","X20221004_JIM712_ceh.32_L4",226.1,233.668181818182,3.7189842908843,46.5,52.15,1.77891084923439,-5.65,-3.17610070365902,NA,NA,NA
"ABalapapp_X20221004_JIM712_ceh.32_L4","ABalapapp","X20221004_JIM712_ceh.32_L4",220.9,217.336363636364,2.61816829000834,53.1,45.45,1.28350339009328,7.65,5.96024915792704,NA,NA,NA
"ABalapappp_X20221004_JIM712_ceh.32_L4","ABalapappp","X20221004_JIM712_ceh.32_L4",315.7,293.05,4.58753487076405,93.1,74.1045454545455,2.86696741601682,18.9954545454545,6.62562624162837,NA,NA,NA
"ABalappaap_X20221004_JIM712_ceh.32_L4","ABalappaap","X20221004_JIM712_ceh.32_L4",315.7,337.869230769231,6.34131750445503,79.1,98.2307692307692,6.26928818598845,-19.1307692307692,-3.05150579511173,NA,NA,NA
"ABalpaaapp_X20221004_JIM712_ceh.32_L4","ABalpaaapp","X20221004_JIM712_ceh.32_L4",NA,311.913636363636,6.04950178621941,NA,80.9409090909091,4.74980291229307,NA,NA,97.1,16.1590909090909,3.40205503417188
"ABalpapapp_X20221004_JIM712_ceh.32_L4","ABalpapapp","X20221004_JIM712_ceh.32_L4",288.4,300.840909090909,3.51075342489181,64,78.2818181818182,3.56793075467138,-14.2818181818182,-4.00282941677594,NA,NA,NA
"ABalppaaa_X20221004_JIM712_ceh.32_L4","ABalppaaa","X20221004_JIM712_ceh.32_L4",238.3,232.568181818182,2.89850312166821,60.4,52.9090909090909,2.02388337018315,7.49090909090909,3.70125531997983,NA,NA,NA
"ABalpppapa_X20221004_JIM712_ceh.32_L4","ABalpppapa","X20221004_JIM712_ceh.32_L4",310.2,297.1,4.75755039009422,91,76.8409090909091,3.84468205272947,14.1590909090909,3.68277290941104,NA,NA,NA
"ABarpaaaap_X20221004_JIM712_ceh.32_L4","ABarpaaaap","X20221004_JIM712_ceh.32_L4",310.2,322.642105263158,5.85200020785616,73.6,91.3684210526316,5.74524466470401,-17.7684210526316,-3.0927179066528,NA,NA,NA
"ABarpaapa_X20221004_JIM712_ceh.32_L4","ABarpaapa","X20221004_JIM712_ceh.32_L4",222.6,214.813636363636,2.84760475028625,51.5,45.4227272727273,1.74872247741896,6.07727272727273,3.47526426048033,NA,NA,NA
"ABplaaapa_X20221004_JIM712_ceh.32_L4","ABplaaapa","X20221004_JIM712_ceh.32_L4",233.1,227.945454545455,3.50411014079008,61.9,54.9818181818182,1.94682558800984,6.91818181818181,3.55357041780716,NA,NA,NA
"ABpraaaapa_X20221004_JIM712_ceh.32_L4","ABpraaaapa","X20221004_JIM712_ceh.32_L4",313.9,301.690909090909,4.26747489639272,87.7,77.2409090909091,3.35781378577095,10.4590909090909,3.11485138139949,NA,NA,NA
"ABprpaapaa_X20221004_JIM712_ceh.32_L4","ABprpaapaa","X20221004_JIM712_ceh.32_L4",310.2,299.827272727273,3.94849963285415,87.5,76.1,2.77540215876135,11.4,4.10751283881965,NA,NA,NA
"Cpaaa_X20221004_JIM712_ceh.32_L4","Cpaaa","X20221004_JIM712_ceh.32_L4",227.8,218.740909090909,6.09618609037526,61.7,52.7318181818182,2.81600635206879,8.96818181818182,3.18471647323995,NA,NA,NA
"Cpaap_X20221004_JIM712_ceh.32_L4","Cpaap","X20221004_JIM712_ceh.32_L4",227.8,214.581818181818,6.90063050008485,61.7,48.5772727272727,2.68646197108351,13.1227272727273,4.88476197094075,NA,NA,NA
"ABalaaapal_X20221004_JIM712_ceh.32_L2","ABalaaapal","X20221004_JIM712_ceh.32_L2",304,297.836363636364,4.21047960785212,79.6,71.9636363636364,2.27251600749676,7.63636363636363,3.36031236355308,NA,NA,NA
"ABalapaapa_X20221004_JIM712_ceh.32_L2","ABalapaapa","X20221004_JIM712_ceh.32_L2",354.5,320.066666666667,9.00918050287225,133.5,94.5142857142857,8.41922120592432,38.9857142857143,4.63056063407401,NA,NA,NA
"ABalapapap_X20221004_JIM712_ceh.32_L2","ABalapapap","X20221004_JIM712_ceh.32_L2",307.7,289.563636363636,4.39280206209088,79.7,63.4318181818182,2.62739892445458,16.2681818181818,6.19174411116839,NA,NA,NA
"ABalapappa_X20221004_JIM712_ceh.32_L2","ABalapappa","X20221004_JIM712_ceh.32_L2",289.2,277.586363636364,3.7545268492144,68.3,58.6454545454545,2.4845670836332,9.65454545454545,3.88580590886181,NA,NA,NA
"ABalapappp_X20221004_JIM712_ceh.32_L2","ABalapappp","X20221004_JIM712_ceh.32_L2",305.8,293.05,4.58753487076405,84.9,74.1045454545455,2.86696741601682,10.7954545454545,3.76546119259808,NA,NA,NA
"ABalpaaap_X20221004_JIM712_ceh.32_L2","ABalpaaap","X20221004_JIM712_ceh.32_L2",229.8,229.377272727273,3.01913450514765,57.4,51.2636363636364,1.5646528458858,6.13636363636363,3.92186909223921,NA,NA,NA
"ABalpaaapp_X20221004_JIM712_ceh.32_L2","ABalpaaapp","X20221004_JIM712_ceh.32_L2",328.1,311.913636363636,6.04950178621941,96.6,80.9409090909091,4.74980291229307,15.6590909090909,3.2967875085013,NA,NA,NA
"ABalpapapa_X20221004_JIM712_ceh.32_L2","ABalpapapa","X20221004_JIM712_ceh.32_L2",291,289.218181818182,2.49659508390668,73.6,66.6681818181818,2.15658159035177,6.93181818181817,3.21426196571005,NA,NA,NA
"ABalpppap_X20221004_JIM712_ceh.32_L2","ABalpppap","X20221004_JIM712_ceh.32_L2",220.9,218.618181818182,2.3058179756426,50.2,44.8863636363636,1.73871749520689,5.31363636363636,3.05606654231318,NA,NA,NA
"ABalpppapp_X20221004_JIM712_ceh.32_L2","ABalpppapp","X20221004_JIM712_ceh.32_L2",296.6,285.6,2.71311628943545,74,65.1380952380952,1.65936017503018,8.86190476190477,5.34055529068219,NA,NA,NA
"ABalpppppp_X20221004_JIM712_ceh.32_L2","ABalpppppp","X20221004_JIM712_ceh.32_L2",265.5,262.777272727273,3.05550741140086,56.9,50.9090909090909,1.8428521091243,5.99090909090909,3.25088978179366,NA,NA,NA
"ABalppppppp_X20221004_JIM712_ceh.32_L2","ABalppppppp","X20221004_JIM712_ceh.32_L2",358.3,337.209090909091,5.61007211102577,90.9,73.6727272727273,3.50773171981293,17.2272727272727,4.91122870941551,NA,NA,NA
"ABaraapppa_X20221004_JIM712_ceh.32_L2","ABaraapppa","X20221004_JIM712_ceh.32_L2",280,272.590909090909,3.32650382618564,64.3,53.6181818181818,2.11133818175794,10.6818181818182,5.05926443906978,NA,NA,NA
"ABarappppa_X20221004_JIM712_ceh.32_L2","ABarappppa","X20221004_JIM712_ceh.32_L2",311.4,295.140909090909,3.93163713518561,94.1,75.7136363636364,3.85193772566798,18.3863636363636,4.77327645092579,NA,NA,NA
"ABarappppp_X20221004_JIM712_ceh.32_L2","ABarappppp","X20221004_JIM712_ceh.32_L2",291,285.990909090909,3.3645079015977,73.6,66.5545454545454,2.25783867843464,7.04545454545455,3.12044195750033,NA,NA,NA
"ABarpapa_X20221004_JIM712_ceh.32_L2","ABarpapa","X20221004_JIM712_ceh.32_L2",172.3,169.713636363636,1.52262162843453,40.6,35.4863636363636,1.23222425855711,5.11363636363637,4.14992346411378,NA,NA,NA
"ABarppap_X20221004_JIM712_ceh.32_L2","ABarppap","X20221004_JIM712_ceh.32_L2",180.8,176.645454545455,2.02877567412731,47.4,41.3590909090909,1.61176008226118,6.04090909090909,3.74802004181301,NA,NA,NA
"ABarpppp_X20221004_JIM712_ceh.32_L2","ABarpppp","X20221004_JIM712_ceh.32_L2",180.8,176.345454545455,1.77193122319696,47.4,40.3590909090909,1.4059936635057,7.04090909090909,5.00778152396029,NA,NA,NA
"ABplaaaa_X20221004_JIM712_ceh.32_L2","ABplaaaa","X20221004_JIM712_ceh.32_L2",172.3,169.786363636364,2.51098452604617,43.9,36.1681818181818,1.40047147286917,7.73181818181818,5.52086803023403,NA,NA,NA
"ABplaapapp_X20221004_JIM712_ceh.32_L2","ABplaapapp","X20221004_JIM712_ceh.32_L2",292.9,284.354545454545,3.82444857808376,72,63.1545454545455,2.21030643700247,8.84545454545454,4.00191321772125,NA,NA,NA
"ABplppapaa_X20221004_JIM712_ceh.32_L2","ABplppapaa","X20221004_JIM712_ceh.32_L2",302.1,295.445454545455,3.19638594617157,75.9,68.1136363636364,1.9337344709988,7.78636363636365,4.02659400922914,NA,NA,NA
"ABplpppaap_X20221004_JIM712_ceh.32_L2","ABplpppaap","X20221004_JIM712_ceh.32_L2",309.5,299.072727272727,3.57227176193603,85.1,75.2227272727273,3.02417746679148,9.87727272727273,3.26610221646551,NA,NA,NA
"ABplpppap_X20221004_JIM712_ceh.32_L2","ABplpppap","X20221004_JIM712_ceh.32_L2",226.2,222.354545454545,2.15864315247802,55.5,49.2,1.89837022832995,6.3,3.31863611532839,NA,NA,NA
"ABplpppapa_X20221004_JIM712_ceh.32_L2","ABplpppapa","X20221004_JIM712_ceh.32_L2",289.2,277.113636363636,3.97723228179806,61.2,53.1409090909091,2.47399023959831,8.05909090909091,3.25752736615462,NA,NA,NA
"ABplppppp_X20221004_JIM712_ceh.32_L2","ABplppppp","X20221004_JIM712_ceh.32_L2",226.2,220.963636363636,2.57396219577549,55.5,48.85,2.05049355266575,6.65,3.24312163349875,NA,NA,NA
"ABprapaaaa_X20221004_JIM712_ceh.32_L2","ABprapaaaa","X20221004_JIM712_ceh.32_L2",313.2,306.022727272727,3.76752183526795,90.6,80.1227272727273,2.92166485776954,10.4772727272727,3.58606248057872,NA,NA,NA
"ABprpaapap_X20221004_JIM712_ceh.32_L2","ABprpaapap","X20221004_JIM712_ceh.32_L2",311.4,299.722727272727,3.96603818368645,88.8,75.9818181818182,3.00676006036499,12.8181818181818,4.26312095439562,NA,NA,NA
"ABprpaappa_X20221004_JIM712_ceh.32_L2","ABprpaappa","X20221004_JIM712_ceh.32_L2",300.3,292.009090909091,3.62187916115497,79.4,71.8590909090909,2.36817371686428,7.5409090909091,3.18427192955004,NA,NA,NA
"ABprpaappp_X20221004_JIM712_ceh.32_L2","ABprpaappp","X20221004_JIM712_ceh.32_L2",300.3,289.65,4.35439023121657,79.4,69.5,2.42212028327799,9.90000000000001,4.08732797803162,NA,NA,NA
"ABprpapap_X20221004_JIM712_ceh.32_L2","ABprpapap","X20221004_JIM712_ceh.32_L2",222.6,221.159090909091,1.81597647638139,53.6,48.3363636363636,1.57496650139598,5.26363636363637,3.34206242416644,NA,NA,NA
"ABprpappap_X20221004_JIM712_ceh.32_L2","ABprpappap","X20221004_JIM712_ceh.32_L2",296.6,288.1,2.73095134304793,77.5,68.7727272727273,2.82980427022651,8.72727272727273,3.08405525396078,NA,NA,NA
"ABprpppapa_X20221004_JIM712_ceh.32_L2","ABprpppapa","X20221004_JIM712_ceh.32_L2",287.4,279.428571428571,3.15628624448779,63,54,1.70528589978338,9,5.27770739272709,NA,NA,NA
"ABprppppaa_X20221004_JIM712_ceh.32_L2","ABprppppaa","X20221004_JIM712_ceh.32_L2",300.3,292.859090909091,3.09387399178704,83,72.0409090909091,2.39456907166217,10.9590909090909,4.57664430681205,NA,NA,NA
"C_X20221004_JIM712_ceh.32_L2","C","X20221004_JIM712_ceh.32_L2",62.5,66.4227272727273,2.16859221795897,11.7,17.8714285714286,1.44607844086787,-6.17142857142857,-4.26769972984643,NA,NA,NA
"Cap_X20221004_JIM712_ceh.32_L2","Cap","X20221004_JIM712_ceh.32_L2",140.1,132.122727272727,2.78190270929497,47.2,37.7727272727273,2.52891503522978,9.42727272727273,3.72779338014262,NA,NA,NA
"Cappaa_X20221004_JIM712_ceh.32_L2","Cappaa","X20221004_JIM712_ceh.32_L2",305.8,309.831818181818,5.49080498596876,61.9,71.7045454545455,3.1513379279174,-9.80454545454545,-3.11123265064274,NA,NA,NA
"Capppp_X20221004_JIM712_ceh.32_L2","Capppp","X20221004_JIM712_ceh.32_L2",320.7,336.38125,8.93145891404833,75,93.88125,5.93039838459441,-18.88125,-3.18380803034218,NA,NA,NA
"Cpapa_X20221004_JIM712_ceh.32_L2","Cpapa","X20221004_JIM712_ceh.32_L2",235,224.409090909091,6.17837311695355,69.5,56.6045454545455,3.57883690506757,12.8954545454545,3.60325292476861,NA,NA,NA
"MSaapapp_X20221004_JIM712_ceh.32_L2","MSaapapp","X20221004_JIM712_ceh.32_L2",302.1,294.436363636364,4.47166161239394,70.6,63.0681818181818,2.48545988149292,7.53181818181817,3.03035194327663,NA,NA,NA
"MSaapppa_X20221004_JIM712_ceh.32_L2","MSaapppa","X20221004_JIM712_ceh.32_L2",318.8,350.1125,6.50438039214453,67.7,84.85,5.38065317330792,-17.15,-3.18734537380645,NA,NA,NA
"MSapapp_X20221004_JIM712_ceh.32_L2","MSapapp","X20221004_JIM712_ceh.32_L2",256.4,247.718181818182,3.5819170663389,66.9,58.2863636363636,2.62738244801523,8.61363636363637,3.2784097991304,NA,NA,NA
"MSpappa_X20221004_JIM712_ceh.32_L2","MSpappa","X20221004_JIM712_ceh.32_L2",300.3,278.109090909091,3.62989034215965,107.3,88.0090909090909,4.32433965131249,19.2909090909091,4.46100691583143,NA,NA,NA
"MSppapp_X20221004_JIM712_ceh.32_L2","MSppapp","X20221004_JIM712_ceh.32_L2",256.4,247.4,4.5018514709691,66.9,58.0954545454545,2.86962371396325,8.80454545454546,3.06818814317137,NA,NA,NA
"ABalaappp_X20220915_JIM712_ceh.32_L4","ABalaappp","X20220915_JIM712_ceh.32_L4",231.1,221.618181818182,3.16553408773402,53.4,46,1.98062039342655,7.4,3.73620307281483,NA,NA,NA
"ABalapaapp_X20220915_JIM712_ceh.32_L4","ABalapaapp","X20220915_JIM712_ceh.32_L4",304.4,290.5,3.98556920712235,75.9,64.8727272727273,3.20389373496299,11.0272727272727,3.44183472970277,NA,NA,NA
"ABalappaap_X20220915_JIM712_ceh.32_L4","ABalappaap","X20220915_JIM712_ceh.32_L4",312.6,337.869230769231,6.34131750445503,73.4,98.2307692307692,6.26928818598845,-24.8307692307692,-3.96069992224393,NA,NA,NA
"ABarapaapp_X20220915_JIM712_ceh.32_L4","ABarapaapp","X20220915_JIM712_ceh.32_L4",301.7,276.55,3.94362052651404,78.6,56.5181818181818,2.10885578626722,22.0818181818182,10.4709948995157,NA,NA,NA
"ABarappppp_X20220915_JIM712_ceh.32_L4","ABarappppp","X20220915_JIM712_ceh.32_L4",296.2,285.990909090909,3.3645079015977,75.7,66.5545454545454,2.25783867843464,9.14545454545456,4.05053497967139,NA,NA,NA
"ABarpaapa_X20220915_JIM712_ceh.32_L4","ABarpaapa","X20220915_JIM712_ceh.32_L4",225.8,214.813636363636,2.84760475028625,53.4,45.4227272727273,1.74872247741896,7.97727272727273,4.56177171065294,NA,NA,NA
