"Cells","CellNames.Cells.","CellTimes.Cells.","X1","X2","X3","X4","X20221004_JIM712_ceh.32_L4","X20221004_JIM712_ceh.32_L2","X20220915_JIM712_ceh.32_L4","X20220923_JIM712_ceh.32_L4","X20220915_JIM712_ceh.32_L4.1","X20220923_JIM712_ceh.32_L4.1","X20221004_JIM712_ceh.32_L2.1","X20221004_JIM712_ceh.32_L4.1"
"AB",NA,3,0,0,0,0,0,0,0,0,0,0,0,0
"ABa",NA,19,0,0,0,0,0,0,0,0,0,0,0,0
"ABal",NA,43,0,0,0,0,0,0,0,0,0,0,0,0
"ABala",NA,56,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaa",NA,75,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaa",NA,103,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaaa",NA,137,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaaal",NA,181,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaaala",NA,232,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaaalal","AINL",330,NA,NA,NA,NA,0,0,0,0,1,1,0,0
"ABalaaaalar","death",330,NA,NA,NA,NA,0,0,0,0,1,0,0,NA
"ABalaaaalp",NA,232,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaaalpa","death",325,NA,NA,NA,NA,0,0,0,0,1,1,0,0
"ABalaaaalpp","ILshL",325,NA,NA,NA,NA,0,0,0,0,1,1,0,1
"ABalaaaar",NA,181,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaaarl",NA,233,0,0,0,1,0,0,0,1,0,0,0,0
"ABalaaaarla","death",314,NA,NA,NA,NA,0,0,0,1,1,1,0,1
"ABalaaaarlp","RMEL",314,NA,NA,NA,NA,0,0,0,1,0,1,0,1
"ABalaaaarr",NA,233,0,0,0,1,0,0,0,1,0,0,0,0
"ABalaaaarra","death",314,NA,NA,NA,NA,0,0,0,1,0,1,0,0
"ABalaaaarrp","RMER",314,NA,NA,NA,NA,0,0,0,1,0,1,0,1
"ABalaaap",NA,137,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaapa",NA,175,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaapal",NA,225,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaapall","ILsoL",299,NA,NA,NA,NA,0,0,0,0,1,1,0,1
"ABalaaapalr","AVDL",299,NA,NA,NA,NA,0,0,0,0,1,1,0,0
"ABalaaapar",NA,225,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaaparl","death",313,NA,NA,NA,NA,0,0,0,0,1,1,0,0
"ABalaaaparr","ILshDL",313,NA,NA,NA,NA,0,0,0,0,1,1,0,0
"ABalaaapp",NA,175,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaappl",NA,226,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaappll","ILshDR",312,NA,NA,NA,NA,0,0,0,0,1,0,1,1
"ABalaaapplr","death",312,NA,NA,NA,NA,0,0,0,0,1,0,0,1
"ABalaaappr",NA,226,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaaapprl","AVDR",300,NA,NA,NA,NA,0,0,0,0,1,1,0,1
"ABalaaapprr","ILsoR",300,NA,NA,NA,NA,0,0,0,0,0,1,1,1
"ABalaap",NA,103,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaapa",NA,137,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaapaa",NA,181,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaapaaa",NA,236,0,0,0,1,0,0,0,1,0,0,0,1
"ABalaapaaal","death",334,NA,NA,NA,NA,0,0,0,1,1,NA,1,NA
"ABalaapaaar","AINR",334,NA,NA,NA,NA,0,0,0,1,0,NA,1,NA
"ABalaapaap",NA,236,1,0,0,0,1,0,0,0,0,0,0,0
"ABalaapaapa","death",325,NA,NA,NA,NA,1,0,0,0,0,1,1,0
"ABalaapaapp","ILshR",325,NA,NA,NA,NA,1,0,0,0,1,1,0,1
"ABalaapap",NA,181,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaapapa","death",235,1,1,NA,1,1,1,0,1,0,0,1,0
"ABalaapapaa",NA,NA,NA,NA,NA,NA,1,1,0,1,NA,NA,NA,NA
"ABalaapapap",NA,NA,NA,NA,NA,NA,1,1,0,1,NA,NA,NA,NA
"ABalaapapp",NA,235,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaapappa","death",309,NA,NA,NA,NA,0,0,0,0,1,1,1,1
"ABalaapappp","CEPsoVR",309,NA,NA,NA,NA,0,0,0,0,1,1,1,1
"ABalaapp",NA,137,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaappa",NA,175,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaappaa","death",230,NA,NA,NA,1,0,0,0,1,0,1,0,0
"ABalaappaaa",NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
"ABalaappaap",NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
"ABalaappap",NA,230,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaappapa","AVAR",308,NA,NA,NA,NA,0,0,0,0,0,1,1,1
"ABalaappapp","OLQsoVR",308,NA,NA,NA,NA,0,0,0,0,0,1,0,1
"ABalaappp",NA,175,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaapppa",NA,223,0,0,0,1,0,0,0,1,0,0,0,0
"ABalaapppaa","RIAR",316,NA,NA,NA,NA,0,0,0,1,0,1,0,1
"ABalaapppap","death",316,NA,NA,NA,NA,0,0,0,1,0,1,0,1
"ABalaapppp",NA,223,0,0,0,1,0,0,0,1,0,0,0,0
"ABalaappppa",NA,289,0,0,0,0,0,0,0,1,0,1,0,0
"ABalaappppaa","IL1R",400,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
"ABalaappppap","death",400,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
"ABalaappppp","IL2R",289,NA,NA,NA,NA,0,0,0,1,0,1,0,1
"ABalap",NA,75,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapa",NA,103,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapaa",NA,135,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapaaa",NA,175,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapaaaa",NA,229,0,0,0,0,0,0,0,0,0,0,0,1
"ABalapaaaaa","AVHL",348,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA
"ABalapaaaap","death",348,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA
"ABalapaaap",NA,229,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapaaapa","CANL",301,NA,NA,NA,NA,0,0,0,0,0,1,1,1
"ABalapaaapp","OLLsoL",301,NA,NA,NA,NA,0,0,0,0,0,1,1,1
"ABalapaap",NA,175,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapaapa",NA,225,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapaapaa","RIAL",321,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
"ABalapaapap","death",321,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
"ABalapaapp",NA,225,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapaappa",NA,291,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapaappaa","IL1L",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABalapaappap","death",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABalapaappp","IL2L",291,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABalapap",NA,135,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapapa",NA,171,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapapaa","death",226,1,NA,NA,1,1,0,0,1,0,0,0,0
"ABalapapaaa",NA,NA,NA,NA,NA,NA,1,0,0,1,NA,NA,NA,NA
"ABalapapaap",NA,NA,NA,NA,NA,NA,1,0,0,1,NA,NA,NA,NA
"ABalapapap",NA,226,0,1,0,0,0,1,0,0,0,0,0,0
"ABalapapapa",NA,291,0,0,0,0,0,1,0,0,0,0,0,0
"ABalapapapaa","OLQDL",400,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA
"ABalapapapap","death",400,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA
"ABalapapapp","URYDL",291,NA,NA,NA,NA,0,1,0,0,0,1,0,0
"ABalapapp",NA,171,1,0,0,0,1,0,0,0,0,0,0,0
"ABalapappa",NA,218,0,0,0,0,1,0,0,0,0,0,0,0
"ABalapappaa",NA,279,0,0,0,0,1,0,0,0,1,0,1,0
"ABalapappaaa","IL1DL",400,NA,NA,NA,NA,1,0,0,0,NA,NA,NA,NA
"ABalapappaap","death",400,NA,NA,NA,NA,1,0,0,0,NA,NA,NA,NA
"ABalapappap","IL2DL",279,NA,NA,NA,NA,1,0,0,0,1,0,1,0
"ABalapappp",NA,218,1,0,0,1,1,0,0,1,0,0,0,0
"ABalapapppa","AVJL",294,NA,NA,NA,NA,1,0,0,1,1,0,1,0
"ABalapapppp","CEPsoDL",294,NA,NA,NA,NA,1,0,0,1,0,1,1,0
"ABalapp",NA,103,0,0,0,0,0,0,0,0,0,0,0,0
"ABalappa",NA,135,0,0,0,0,0,0,0,0,0,0,0,0
"ABalappaa",NA,178,0,0,0,0,0,0,0,0,0,0,0,0
"ABalappaaa","death",239,NA,NA,NA,NA,0,0,0,0,1,0,0,1
"ABalappaap",NA,239,0,0,0,0,0,0,0,0,0,0,0,0
"ABalappaapa","RID",339,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABalappaapp","death",339,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
"ABalappap",NA,178,0,0,0,0,0,0,0,0,0,0,0,0
"ABalappapa",NA,227,0,0,0,0,0,0,0,0,0,0,0,1
"ABalappapaa","AVHR",332,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA
"ABalappapap","death",332,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA
"ABalappapp",NA,227,0,0,0,0,0,0,0,0,0,0,0,0
"ABalappappa","CANR",295,NA,NA,NA,NA,0,0,0,0,0,1,1,1
"ABalappappp","OLLsoR",295,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"ABalappp",NA,135,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapppa",NA,172,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapppaa",NA,219,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapppaaa","ALA",295,NA,NA,NA,NA,0,0,0,0,1,0,0,0
"ABalapppaap","RMED",295,NA,NA,NA,NA,0,0,0,0,0,1,0,1
"ABalapppap",NA,219,0,0,0,1,0,0,0,1,0,0,0,0
"ABalapppapa",NA,284,0,0,0,0,0,0,0,1,0,0,0,0
"ABalapppapaa","OLQDR",400,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
"ABalapppapap","death",400,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
"ABalapppapp","URYDR",284,NA,NA,NA,NA,0,0,0,1,0,0,1,0
"ABalapppp",NA,172,0,0,0,0,0,0,0,0,0,0,0,0
"ABalappppa",NA,219,0,0,0,0,0,0,0,0,0,0,0,0
"ABalappppaa",NA,278,0,0,0,0,0,0,0,0,1,0,1,1
"ABalappppaaa","IL1DR",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABalappppaap","death",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABalappppap","IL2DR",278,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"ABalappppp",NA,219,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapppppa","AVJR",291,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"ABalapppppp","CEPsoDR",291,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"ABalp",NA,56,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpa",NA,75,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpaa",NA,102,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpaaa",NA,134,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpaaaa",NA,177,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpaaaaa",NA,232,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpaaaaaa","e3VL",307,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABalpaaaaap","m2VL",307,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABalpaaaap",NA,232,0,0,0,1,0,0,0,1,0,0,0,0
"ABalpaaaapa","m1VL",318,NA,NA,NA,NA,0,0,0,1,1,0,0,0
"ABalpaaaapp","death",318,NA,NA,NA,NA,0,0,0,1,1,0,1,0
"ABalpaaap",NA,177,0,0,0,1,0,0,0,1,0,0,0,0
"ABalpaaapa",NA,230,0,0,0,1,0,0,0,1,0,0,0,0
"ABalpaaapaa","m2L",315,NA,NA,NA,NA,0,0,0,1,0,0,0,1
"ABalpaaapap","death",315,NA,NA,NA,NA,0,0,0,1,1,0,1,1
"ABalpaaapp",NA,230,0,0,0,0,0,0,0,1,1,0,0,0
"ABalpaaappa","death",313,NA,NA,NA,NA,0,0,0,1,1,0,1,NA
"ABalpaaappp","MCL",313,NA,NA,NA,NA,0,0,0,1,1,0,1,NA
"ABalpaap",NA,134,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpaapa",NA,170,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpaapaa",NA,212,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpaapaaa","arcpost",284,NA,NA,NA,NA,0,0,0,0,0,1,0,1
"ABalpaapaap","e2DL",284,NA,NA,NA,NA,0,0,0,0,1,1,1,1
"ABalpaapap",NA,212,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpaapapa","mc1DL",263,NA,NA,NA,NA,0,0,0,0,1,0,0,0
"ABalpaapapp","m3L",263,NA,NA,NA,NA,0,0,0,0,1,0,0,0
"ABalpaapp",NA,170,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpaappa",NA,222,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpaappaa","arc_ant",309,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABalpaappap","arcpost",309,NA,NA,NA,NA,0,0,0,0,1,0,0,1
"ABalpaappp",NA,222,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpaapppa","hyp1",297,NA,NA,NA,NA,0,0,0,0,1,1,0,0
"ABalpaapppp","hyp2",297,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABalpap",NA,102,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpapa",NA,133,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpapaa",NA,172,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpapaaa",NA,223,0,0,0,1,0,0,0,1,0,0,0,0
"ABalpapaaaa","RIPL",291,NA,NA,NA,NA,0,0,0,1,0,0,1,0
"ABalpapaaap","hyp2",291,NA,NA,NA,NA,0,0,0,1,1,0,0,0
"ABalpapaap",NA,223,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpapaapa","arc_ant",310,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABalpapaapp","death",310,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABalpapap",NA,172,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpapapa",NA,222,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpapapaa","RMDDL",290,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABalpapapap",NA,290,0,0,0,0,0,0,0,0,1,0,1,0
"ABalpapapapa","death",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABalpapapapp","SMBDL",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABalpapapp",NA,222,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpapappa","death",302,NA,NA,NA,NA,0,0,0,0,1,0,1,1
"ABalpapappp","SMBVL",302,NA,NA,NA,NA,0,0,0,0,1,0,1,1
"ABalpapp",NA,133,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpappa",NA,168,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpappaa",NA,213,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpappaaa","death",292,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"ABalpappaap",NA,292,0,0,0,0,0,0,0,0,1,0,1,0
"ABalpappaapa","I2L",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABalpappaapp","death",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABalpappap",NA,213,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpappapa","e2V",273,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABalpappapp","mc3V",273,NA,NA,NA,NA,0,0,0,0,1,1,1,0
"ABalpappp",NA,168,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpapppa",NA,213,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpapppaa","I1L",324,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
"ABalpapppap","death",324,NA,NA,NA,NA,0,0,0,0,0,0,1,NA
"ABalpapppp",NA,213,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpappppa","mc1V",265,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABalpappppp","m3VL",265,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABalpp",NA,75,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppa",NA,103,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppaa",NA,135,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppaaa",NA,179,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppaaaa","death",234,NA,NA,NA,NA,0,0,0,0,1,0,0,0
"ABalppaaap",NA,234,0,0,0,0,0,0,0,0,1,0,0,0
"ABalppaaapa","AVAL",311,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
"ABalppaaapp","OLQsoVL",311,NA,NA,NA,NA,0,0,0,0,0,0,1,NA
"ABalppaap",NA,179,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppaapa","death",231,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABalppaapp",NA,231,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppaappa","death",308,NA,NA,NA,NA,0,0,0,0,0,1,1,0
"ABalppaappp","CEPsoVL",308,NA,NA,NA,NA,0,0,0,0,1,1,1,0
"ABalppap",NA,135,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppapa",NA,172,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppapaa",NA,220,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppapaaa","RMDVL",305,NA,NA,NA,NA,0,0,0,0,0,1,1,0
"ABalppapaap","ILshVL",305,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"ABalppapap",NA,220,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppapapa","SAADL",299,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABalppapapp","ILsoVL",299,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABalppapp",NA,172,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppappa",NA,218,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppappaa","SMDVL",296,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABalppappap","BAGL",296,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"ABalppappp",NA,218,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppapppa",NA,286,0,0,0,0,0,0,0,0,1,0,1,0
"ABalppapppaa","IL1VL",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABalppapppap","death",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABalppapppp","IL2VL",286,NA,NA,NA,NA,0,0,0,0,1,0,1,0
"ABalppp",NA,103,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpppa",NA,134,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpppaa",NA,173,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpppaaa",NA,227,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpppaaaa","AVEL",313,NA,NA,NA,NA,0,0,0,0,0,1,0,0
"ABalpppaaap","OLQshVL",313,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"ABalpppaap",NA,227,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpppaapd","OLLshL",318,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABalpppaapv","death",318,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"ABalpppap",NA,173,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpppapa",NA,220,0,0,0,0,0,0,0,0,0,0,0,0
"ABalpppapad","RMDL",298,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABalpppapav","AFDL",298,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"ABalpppapp",NA,220,0,1,0,0,0,1,0,0,0,0,0,0
"ABalpppappa","death",287,NA,NA,NA,NA,0,1,0,0,0,0,0,0
"ABalpppappp",NA,287,0,0,0,0,0,1,0,0,0,0,0,0
"ABalpppapppa","ASKL",400,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA
"ABalpppapppp","death",400,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA
"ABalpppp",NA,134,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppppa",NA,169,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppppaa",NA,218,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppppaad","ADLL",297,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"ABalppppaav","death",297,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"ABalppppap",NA,218,0,0,0,0,0,0,0,0,0,0,0,0
"ABalppppapa",NA,290,0,0,0,0,0,0,0,0,1,1,0,0
"ABalppppapaa","OLLL",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"ABalppppapap","death",400,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
